Lat,Long,Date,Speed (m/s),Course,HR,Distance (m)
55.52683174948621,8.344247237016187,2021-10-15T16:07:18+02:00,9.609261512756348,233.52586160965035,175.0,21097.77116401138
55.52677176567144,8.34411577937893,2021-10-15T16:07:19+02:00,10.218146324157715,232.14083584975518,175.0,21087.115859885216
55.526711202382046,8.343984965798033,2021-10-15T16:07:20+02:00,10.218146324157715,231.4443477997106,175.0,21076.45154979738
55.526645251926176,8.343850060225595,2021-10-15T16:07:21+02:00,10.40985107421875,227.28478991592954,174.0,21065.203755210845
55.526573226747004,8.343708939066572,2021-10-15T16:07:22+02:00,11.132979393005371,227.7657308561468,174.0,21053.21434011592
55.52650266856439,8.34356506147355,2021-10-15T16:07:23+02:00,11.421515464782715,228.78299191037183,174.0,21041.20237843521
55.52642872567922,8.343424482923956,2021-10-15T16:07:24+02:00,11.93109130859375,229.05374060907113,174.0,21029.094282331873
55.526351429558886,8.343273554344192,2021-10-15T16:07:25+02:00,11.93109130859375,225.79220233698499,174.0,21016.25186087665
55.52626174514332,8.343121947428406,2021-10-15T16:07:26+02:00,12.7374906539917,220.56288656501815,174.0,21002.417594346272
55.52616357866045,8.342980868406947,2021-10-15T16:07:27+02:00,14.012508392333984,220.16789672531633,174.0,20988.31636488846
55.526060193344094,8.342838706339402,2021-10-15T16:07:28+02:00,14.14133358001709,219.65665706594086,174.0,20973.71820264829
55.52595256479331,8.342699876648071,2021-10-15T16:07:29+02:00,14.14133358001709,212.56185270710347,175.0,20958.869993809818
55.525830047083865,8.342575340376644,2021-10-15T16:07:30+02:00,15.111762046813965,210.88247311473742,175.0,20943.124314131255
55.525699927049175,8.342468788371821,2021-10-15T16:07:31+02:00,15.111762046813965,208.93125199340486,175.0,20927.150773671892
55.52557100558829,8.342364200549211,2021-10-15T16:07:32+02:00,15.84680461883545,202.0089099111103,175.0,20911.350419478298
55.52542091973792,8.342283588554682,2021-10-15T16:07:33+02:00,17.365859985351562,184.58558911202798,173.0,20893.882417831992
55.525250549767925,8.342286279328192,2021-10-15T16:07:34+02:00,17.365859985351562,183.45278857780303,173.0,20874.91383611
55.52507930196198,8.342281867711803,2021-10-15T16:07:35+02:00,17.629505157470703,185.3574278089961,173.0,20855.846247525733
55.52491527433001,8.34227244357445,2021-10-15T16:07:36+02:00,17.629505157470703,189.1955296696797,173.0,20837.574841491903
55.52475318509678,8.342240963449981,2021-10-15T16:07:37+02:00,17.32120704650879,189.59424879266837,173.0,20819.419738218294
55.524591715569954,8.34220410218373,2021-10-15T16:07:38+02:00,17.47645378112793,189.67962615729354,173.0,20801.29270150021
55.524435219475244,8.342151679168952,2021-10-15T16:07:39+02:00,17.32120704650879,190.97248534452856,173.0,20783.55768572498
55.524281620088566,8.342106425727195,2021-10-15T16:07:40+02:00,17.186969757080078,199.02534667786531,173.0,20766.21977261062
55.5241458884797,8.342026279315629,2021-10-15T16:07:41+02:00,16.02275848388672,205.12467828593003,175.0,20750.283042478153
55.52401685103886,8.341930367097172,2021-10-15T16:07:42+02:00,14.447916984558105,215.31018422533322,175.0,20734.69192240154
55.52391398733824,8.341781982180981,2021-10-15T16:07:43+02:00,14.447916984558105,223.97038597966747,175.0,20719.893767417707
55.52382626600212,8.341613733159758,2021-10-15T16:07:44+02:00,14.015494346618652,227.99795728792725,175.0,20705.460996356258
55.52374030541876,8.341447459736035,2021-10-15T16:07:45+02:00,13.967658996582031,234.81633023067587,175.0,20691.25261985176
55.523673076691665,8.34125524579245,2021-10-15T16:07:46+02:00,13.63908576965332,238.66434952603436,175.0,20676.990544505938
55.52361268756156,8.341065790984398,2021-10-15T16:07:47+02:00,12.588679313659668,240.40337033023295,175.0,20663.265137361108
55.52355281603197,8.340881515108181,2021-10-15T16:07:48+02:00,12.588679313659668,240.9652216913582,175.0,20649.852676809776
55.52350184355244,8.340717128068482,2021-10-15T16:07:49+02:00,12.588679313659668,239.75857315182708,179.0,20638.020322625456
55.523447825250656,8.3405399358081,2021-10-15T16:07:50+02:00,12.411516189575195,237.94835445572025,179.0,20625.31532449334
55.52339330404159,8.340389925748918,2021-10-15T16:07:51+02:00,11.870651245117188,238.19290254876339,179.0,20614.063056250256
55.523337549149424,8.340248811070316,2021-10-15T16:07:52+02:00,12.00171184539795,242.25790329367481,179.0,20603.201692975777
55.52329901584163,8.340072532171408,2021-10-15T16:07:53+02:00,12.00171184539795,244.87905668955892,180.0,20591.270014060123
55.52325568845535,8.339906562297495,2021-10-15T16:07:54+02:00,12.113088607788086,246.4399188394469,180.0,20579.73075254664
55.52322837666875,8.339707943515227,2021-10-15T16:07:55+02:00,12.113088607788086,248.88255841118357,180.0,20566.822751972668
55.52320089051779,8.339523418094473,2021-10-15T16:07:56+02:00,11.073067665100098,251.8756292677532,180.0,20554.773095833985
55.523173113149475,8.339358475435011,2021-10-15T16:07:57+02:00,11.073067665100098,251.00065471431788,181.0,20543.906008495884
55.52313632893712,8.339201474693043,2021-10-15T16:07:58+02:00,11.073067665100098,243.3558698631327,181.0,20533.177469067483
55.52308487810691,8.339041767598365,2021-10-15T16:07:59+02:00,11.30625057220459,248.10028318516365,181.0,20521.577411196282
55.52304418587436,8.338889415774096,2021-10-15T16:08:00+02:00,11.30625057220459,253.95856375704028,181.0,20510.941740963564
55.52302130844625,8.338729453642934,2021-10-15T16:08:01+02:00,10.272160530090332,257.4816026516895,181.0,20500.522441852416
55.52301012055617,8.33857693547703,2021-10-15T16:08:02+02:00,10.272160530090332,252.2525191061545,181.0,20490.80921396071
55.52298991974232,8.338421206080898,2021-10-15T16:08:03+02:00,9.955263137817383,246.5404592240295,181.0,20480.71951089176
